old,new,batch,evidence
restart_fail_prefix,common_restart_fail_prefix,common,app\src\main\java\com\qimian233\ztool\screens\safecenter\SafeCenterSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemframework\FrameworkSettingsScreen.kt
restart_fail_short,game_tool_restart_fail_short,scope,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt
restart_fail_simple,package_installer_restart_fail_simple,scope,app\src\main\java\com\qimian233\ztool\screens\packageinstaller\PackageInstallerSettingsScreen.kt
restart_failed,system_update_restart_failed,scope,app\src\main\java\com\qimian233\ztool\screens\ota\OtaSettingsScreen.kt
restart_no,common_restart_no,common,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
restart_system_button,page_home_restart_system_button,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
restart_system_message,system_framework_restart_system_message,scope,app\src\main\java\com\qimian233\ztool\screens\systemframework\FrameworkSettingsScreen.kt
restart_system_title,system_framework_restart_system_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemframework\FrameworkSettingsScreen.kt
restart_xp_message,common_restart_xp_message,common,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
restart_xp_message_header,common_restart_xp_message_header,common,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
restart_xp_title,common_restart_xp_title,common,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
restart_yes,common_restart_yes,common,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\launcher\LauncherSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
restoreConfigFromFile,page_settings_restore_config_from_file,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\SettingsRoute.kt
restoreDefaultConfig,page_settings_restore_default_config,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\SettingsRoute.kt
restoreModule,settings_restore_module,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
restore_default_confirmation,page_settings_restore_default_confirmation,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\SettingsRoute.kt
restore_success_message,settings_restore_success_message,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
restoring_module,settings_restoring_module,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
return_to_app,settings_return_to_app,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
